Metric,Value
YTD Portfolio Return,5.849003093961071
YTD Market Return,6.331718916796117
YTD Portfolio Alpha,-0.4827158228350461
Latest Quarter Alpha,4.535220023482089
4Q Rolling Alpha,1.960138022993885
2Q Rolling Alpha,4.519889844486761
